year,state,crop,mean_yield_per_acre
2015,ALABAMA,Corn,118.66666666666667
2015,ARIZONA,Corn,120.5
2015,ARKANSAS,Corn,158.16666666666666
2015,CALIFORNIA,Corn,153.75
2015,COLORADO,Corn,129.55
2015,CONNECTICUT,Corn,18.5
2015,DELAWARE,Corn,168.45
2015,FLORIDA,Corn,79.0
2015,GEORGIA,Corn,153.66666666666666
2015,IDAHO,Corn,118.0
2015,ILLINOIS,Corn,146.33333333333334
2015,INDIANA,Corn,132.16666666666666
2015,IOWA,Corn,158.66666666666666
2015,KANSAS,Corn,135.425
2015,KENTUCKY,Corn,147.33333333333334
2015,LOUISIANA,Corn,144.16666666666666
2015,MAINE,Corn,18.5
2015,MARYLAND,Corn,147.0
2015,MASSACHUSETTS,Corn,19.0
2015,MICHIGAN,Corn,140.66666666666666
2015,MINNESOTA,Corn,157.91666666666666
2015,MISSISSIPPI,Corn,154.83333333333334
2015,MISSOURI,Corn,125.0
2015,MONTANA,Corn,66.5
2015,NEBRASKA,Corn,163.475
2015,NEVADA,Corn,24.0
2015,NEW HAMPSHIRE,Corn,20.0
2015,NEW JERSEY,Corn,127.33333333333333
2015,NEW MEXICO,Corn,102.5
2015,NEW YORK,Corn,125.0
2015,NORTH CAROLINA,Corn,98.66666666666667
2015,NORTH DAKOTA,Corn,108.5
2015,OHIO,Corn,138.66666666666666
2015,OKLAHOMA,Corn,116.66666666666667
2015,OREGON,Corn,106.0
2015,OTHER STATES,Corn,107.5
2015,PENNSYLVANIA,Corn,128.83333333333334
2015,RHODE ISLAND,Corn,17.0
2015,SOUTH CAROLINA,Corn,90.0
2015,SOUTH DAKOTA,Corn,136.16666666666666
2015,TENNESSEE,Corn,138.83333333333334
2015,TEXAS,Corn,123.3625
2015,UTAH,Corn,98.0
2015,VERMONT,Corn,17.0
2015,VIRGINIA,Corn,136.33333333333334
2015,WASHINGTON,Corn,186.83333333333334
2015,WEST VIRGINIA,Corn,83.0
2015,WISCONSIN,Corn,139.58333333333334
2015,WYOMING,Corn,91.0
2016,ALABAMA,Corn,106.0
2016,ARIZONA,Corn,122.5
2016,ARKANSAS,Corn,152.5
2016,CALIFORNIA,Corn,156.91666666666666
2016,COLORADO,Corn,122.1375
2016,CONNECTICUT,Corn,18.5
2016,DELAWARE,Corn,156.825
2016,FLORIDA,Corn,82.0
2016,GEORGIA,Corn,148.33333333333334
2016,IDAHO,Corn,178.83333333333334
2016,ILLINOIS,Corn,170.33333333333334
2016,INDIANA,Corn,153.5
2016,IOWA,Corn,169.5
2016,KANSAS,Corn,132.6375
2016,KENTUCKY,Corn,141.08333333333334
2016,LOUISIANA,Corn,145.0
2016,MAINE,Corn,19.0
2016,MARYLAND,Corn,139.66666666666666
2016,MASSACHUSETTS,Corn,16.0
2016,MICHIGAN,Corn,132.58333333333334
2016,MINNESOTA,Corn,159.75
2016,MISSISSIPPI,Corn,142.33333333333334
2016,MISSOURI,Corn,139.83333333333334
2016,MONTANA,Corn,61.0
2016,NEBRASKA,Corn,160.075
2016,NEVADA,Corn,24.0
2016,NEW HAMPSHIRE,Corn,20.0
2016,NEW JERSEY,Corn,80.5
2016,NEW MEXICO,Corn,86.5
2016,NEW YORK,Corn,114.33333333333333
2016,NORTH CAROLINA,Corn,116.25
2016,NORTH DAKOTA,Corn,122.75
2016,OHIO,Corn,137.25
2016,OKLAHOMA,Corn,104.66666666666667
2016,OREGON,Corn,128.5
2016,OTHER STATES,Corn,130.35999999999999
2016,PENNSYLVANIA,Corn,115.41666666666667
2016,RHODE ISLAND,Corn,18.5
